fips,state_abbr,pollutant,model,season,elevated,damage
01019,AL,so2,EASIUR,fall,high stack,40677.71957758023660022932478342737318468
01019,AL,nox,EASIUR,fall,high stack,7344.098166292414895266530742184437272654
01019,AL,pm25,InMAP,annual,high stack,165261.34179563897500728113757612679418784
01019,AL,so2,InMAP,annual,high stack,109076.81282286040325295949173267215479842
01019,AL,nox,InMAP,annual,high stack,34980.282960309789340424852254682017825878
01021,AL,pm25,AP2,annual,high stack,59042.32051805934350127952936644260756988
01021,AL,so2,AP2,annual,high stack,49235.011801706652051804910562257561320228
01021,AL,nox,AP2,annual,high stack,7750.941439883049956846883303406741774212
01021,AL,pm25,EASIUR,annual,high stack,171494.94031936860480687744873591609994458
01021,AL,so2,EASIUR,annual,high stack,58587.98880982136928039162953037369058650
01021,AL,nox,EASIUR,annual,high stack,9203.18440926757793333716187726235036606
01021,AL,pm25,EASIUR,winter,high stack,222731.90403837919272942945886403951936982
01021,AL,so2,EASIUR,winter,high stack,56485.88907109456582981532322830770940124
01021,AL,nox,EASIUR,winter,high stack,19746.481389352949894110111957562364352056
01021,AL,pm25,EASIUR,spring,high stack,151528.58689057228423179129092658809030364
01021,AL,so2,EASIUR,spring,high stack,82358.19729603985548533148994511699198484
01021,AL,nox,EASIUR,spring,high stack,9652.05300873370158453727436610090175884
01021,AL,pm25,EASIUR,summer,high stack,124711.10863682351165589867777050191385082
01021,AL,so2,EASIUR,summer,high stack,57692.79474578422565900743518508057041318
01021,AL,nox,EASIUR,summer,high stack,3169.95259634164411865835994052444615136
01021,AL,pm25,EASIUR,fall,high stack,187008.16171169793473996831145034324435698
01021,AL,so2,EASIUR,fall,high stack,37815.074126366880009759671627395878276642
01021,AL,nox,EASIUR,fall,high stack,4244.2506426420061635734208719804116560036
01021,AL,pm25,InMAP,annual,high stack,120102.38710087919009131834504289381334054
01021,AL,so2,InMAP,annual,high stack,78001.47044281941588787959773225419048134
01021,AL,nox,InMAP,annual,high stack,26192.645937836255413885121011005702996042
01023,AL,pm25,AP2,annual,high stack,43719.695390096681325133440923665221432468
01023,AL,so2,AP2,annual,high stack,42696.159249929549447439899940447799055550
01023,AL,nox,AP2,annual,high stack,7651.072190249078616646236517908093000078
01023,AL,pm25,EASIUR,annual,high stack,132619.70659894882407775927312408727497854
01023,AL,so2,EASIUR,annual,high stack,52755.65720221632866843973663034077798624
01023,AL,nox,EASIUR,annual,high stack,7413.301138021835562996629117014984606626
01023,AL,pm25,EASIUR,winter,high stack,180322.26299514935719173586610932177601292
01023,AL,so2,EASIUR,winter,high stack,54750.20959679737541474452543912568168526
01023,AL,nox,EASIUR,winter,high stack,17453.861769439785334057267263222794978316
