Region,Units,Fuel Type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West South Central,USD2022/kWh-equivalent,fuelOil,0.111178126,0.104267454,0.101315881,0.095926195,0.094503369,0.092915068,0.091765491,0.092036823,0.092259672,0.092772396,0.093196655,0.093396164,0.093764464,0.094131249,0.094367706,0.094684379,0.095022969,0.095277317,0.095516836,0.096099887,0.096102119,0.096514276,0.096223949,0.096469184,0.09713702,0.097230782,0.097361068,0.097638928,0.097755928
West South Central,USD2022/kWh-equivalent,naturalGas,0.051956225,0.047018833,0.046051573,0.043908403,0.042105543,0.041014997,0.040406706,0.040768648,0.04127758,0.041944962,0.042557157,0.043349109,0.044010577,0.044569666,0.044812157,0.045142526,0.045687133,0.045677945,0.04620986,0.046658608,0.046838218,0.046863024,0.046922304,0.047108362,0.047252311,0.047326341,0.047409334,0.047466365,0.047598181
West South Central,USD2022/kWh-equivalent,electricity,0.122337457,0.116967666,0.117565935,0.114799799,0.111737962,0.109544369,0.107519597,0.1072087,0.109345498,0.110103802,0.10924357,0.111818904,0.113346075,0.113796379,0.114404372,0.114474392,0.114774034,0.11453044,0.115237239,0.116393263,0.117525382,0.118380536,0.118719706,0.118055962,0.11640744,0.115456642,0.11485814,0.114829328,0.112577263
Mountain,USD2022/kWh-equivalent,propane,0.095075075,0.101969502,0.102831324,0.099321474,0.095723208,0.092819181,0.09115714,0.090526471,0.09081416,0.091754358,0.093268294,0.095192625,0.097117747,0.098660447,0.099816317,0.100846184,0.102173901,0.102819331,0.103870345,0.104899983,0.105631904,0.106004403,0.106092471,0.106283962,0.106354113,0.106470454,0.106730276,0.106806765,0.106747232
Mountain,USD2022/kWh-equivalent,fuelOil,0.109887119,0.101989218,0.09873172,0.093096464,0.091595113,0.090158338,0.088918082,0.089201208,0.089291802,0.089803754,0.090240642,0.090425276,0.090782973,0.091138932,0.091423212,0.091717717,0.092063096,0.092290304,0.092584935,0.093172119,0.093240587,0.093682689,0.093463645,0.093806877,0.094524509,0.094631331,0.094781304,0.095038611,0.095071904
Mountain,USD2022/kWh-equivalent,naturalGas,0.03932928,0.039313891,0.034921375,0.033940174,0.033261809,0.033177881,0.033573239,0.033787949,0.034121389,0.034623297,0.035079352,0.03568202,0.036220949,0.036681986,0.036840239,0.037060788,0.037477495,0.037378543,0.037680454,0.037969799,0.038043935,0.037956433,0.037786403,0.037786604,0.037662631,0.037571693,0.037447498,0.037388867,0.037378689
Mountain,USD2022/kWh-equivalent,electricity,0.131087386,0.127467444,0.125598205,0.123084737,0.121517181,0.120491212,0.119192976,0.119325164,0.120197375,0.120649461,0.121532829,0.122961546,0.123968143,0.124532536,0.125258683,0.127200027,0.12990199,0.132169328,0.13402314,0.135816164,0.136860922,0.136636754,0.136968761,0.137545734,0.138185171,0.138455621,0.138680024,0.139110474,0.139364652
Pacific,USD2022/kWh-equivalent,propane,0.113558706,0.121615635,0.122622754,0.118521198,0.114316191,0.110922594,0.108980311,0.108243304,0.108579505,0.109678235,0.111447447,0.113696259,0.11594598,0.117748795,0.119099563,0.120303078,0.121854672,0.122608928,0.123837167,0.125040386,0.125895737,0.126331055,0.126433962,0.127091235,0.135518863,0.135654826,0.135958454,0.136047846,0.135978256
Pacific,USD2022/kWh-equivalent,fuelOil,0.120521519,0.112623625,0.109180672,0.103360174,0.101673372,0.100051007,0.098625625,0.098908485,0.09899886,0.099510447,0.099947099,0.100131396,0.100488928,0.100844529,0.101128628,0.101422894,0.101768102,0.101995096,0.102289532,0.102876512,0.102944775,0.103386669,0.103167457,0.103541867,0.104863894,0.104970775,0.105120362,0.105377451,0.105410874
Pacific,USD2022/kWh-equivalent,naturalGas,0.062031287,0.060356584,0.06350801,0.056890546,0.050642328,0.045239468,0.040390621,0.040126331,0.040089621,0.040322949,0.04051986,0.041003089,0.041509198,0.041969321,0.042113932,0.042377082,0.042915553,0.042797034,0.04312985,0.043456843,0.043591474,0.043572519,0.043381215,0.043940925,0.05221101,0.052562014,0.052529553,0.052636942,0.052747157
Pacific,USD2022/kWh-equivalent,electricity,0.195663034,0.198072154,0.174942406,0.158399666,0.156677481,0.156527549,0.157171256,0.157600962,0.159069621,0.161712932,0.164554191,0.167022249,0.169432553,0.171892017,0.173641792,0.175283659,0.176736096,0.177785502,0.178710222,0.180323655,0.181848782,0.184593215,0.187433549,0.190041669,0.192204003,0.193279788,0.194869604,0.195369239,0.195900406
