"Year","Cambium.GEA","Source","Fraction"
2048,"NYSTc","Coal",0
2049,"NYSTc","Coal",0
2050,"NYSTc","Coal",0
2022,"RFCEc","Coal",0.0427543634691655
2023,"RFCEc","Coal",0.0427543634691655
2024,"RFCEc","Coal",0.0427543634691655
2025,"RFCEc","Coal",0.0366389202630532
2026,"RFCEc","Coal",0.0305234770569409
2027,"RFCEc","Coal",0.0276847462858323
2028,"RFCEc","Coal",0.0248460155147237
2029,"RFCEc","Coal",0.0251911494022645
2030,"RFCEc","Coal",0.0255362832898052
2031,"RFCEc","Coal",0.0204290266318442
2032,"RFCEc","Coal",0.0153217699738831
2033,"RFCEc","Coal",0.0102145133159221
2034,"RFCEc","Coal",0.00510725665796104
2035,"RFCEc","Coal",0
2036,"RFCEc","Coal",0
2037,"RFCEc","Coal",0
2038,"RFCEc","Coal",0
2039,"RFCEc","Coal",0
2040,"RFCEc","Coal",0
2041,"RFCEc","Coal",0
2042,"RFCEc","Coal",0
2043,"RFCEc","Coal",0
2044,"RFCEc","Coal",0
2045,"RFCEc","Coal",0
2046,"RFCEc","Coal",0
2047,"RFCEc","Coal",0
2048,"RFCEc","Coal",0
2049,"RFCEc","Coal",0
2050,"RFCEc","Coal",0
2022,"RFCMc","Coal",0.289653936249176
2023,"RFCMc","Coal",0.289653936249176
2024,"RFCMc","Coal",0.289653936249176
2025,"RFCMc","Coal",0.231546188729782
2026,"RFCMc","Coal",0.173438441210388
2027,"RFCMc","Coal",0.161802882015961
2028,"RFCMc","Coal",0.150167322821535
2029,"RFCMc","Coal",0.131592130267358
2030,"RFCMc","Coal",0.113016937713182
2031,"RFCMc","Coal",0.0904135501705456
2032,"RFCMc","Coal",0.0678101626279092
2033,"RFCMc","Coal",0.0452067750852728
2034,"RFCMc","Coal",0.0226033875426364
2035,"RFCMc","Coal",0
2036,"RFCMc","Coal",0
2037,"RFCMc","Coal",0
2038,"RFCMc","Coal",0
2039,"RFCMc","Coal",0
2040,"RFCMc","Coal",0
2041,"RFCMc","Coal",0
2042,"RFCMc","Coal",0
2043,"RFCMc","Coal",0
2044,"RFCMc","Coal",0
2045,"RFCMc","Coal",0
2046,"RFCMc","Coal",0
2047,"RFCMc","Coal",0
2048,"RFCMc","Coal",0
2049,"RFCMc","Coal",0
2050,"RFCMc","Coal",0
2022,"RFCWc","Coal",0.289284305277162
2023,"RFCWc","Coal",0.289284305277162
2024,"RFCWc","Coal",0.289284305277162
2025,"RFCWc","Coal",0.269055938155315
2026,"RFCWc","Coal",0.248827571033467
2027,"RFCWc","Coal",0.217039763193172
2028,"RFCWc","Coal",0.185251955352878
2029,"RFCWc","Coal",0.172545167670628
2030,"RFCWc","Coal",0.159838379988379
2031,"RFCWc","Coal",0.127870703990703
2032,"RFCWc","Coal",0.0959030279930276
2033,"RFCWc","Coal",0.0639353519953517
2034,"RFCWc","Coal",0.0319676759976759
2035,"RFCWc","Coal",0
2036,"RFCWc","Coal",0
2037,"RFCWc","Coal",0
2038,"RFCWc","Coal",0
2039,"RFCWc","Coal",0
2040,"RFCWc","Coal",0
2041,"RFCWc","Coal",0
2042,"RFCWc","Coal",0
2043,"RFCWc","Coal",0
2044,"RFCWc","Coal",0
2045,"RFCWc","Coal",0
2046,"RFCWc","Coal",0
2047,"RFCWc","Coal",0
2048,"RFCWc","Coal",0
2049,"RFCWc","Coal",0
2050,"RFCWc","Coal",0
2022,"RMPAc","Coal",0.448605177140937
2023,"RMPAc","Coal",0.448605177140937
2024,"RMPAc","Coal",0.448605177140937
2025,"RMPAc","Coal",0.39388547648118
2026,"RMPAc","Coal",0.339165775821423
2027,"RMPAc","Coal",0.283930357894913
2028,"RMPAc","Coal",0.228694939968404
2029,"RMPAc","Coal",0.162958094671798
2030,"RMPAc","Coal",0.0972212493751916
2031,"RMPAc","Coal",0.0777769995001533
2032,"RMPAc","Coal",0.058332749625115
2033,"RMPAc","Coal",0.0388884997500767
2034,"RMPAc","Coal",0.0194442498750383
2035,"RMPAc","Coal",0
2036,"RMPAc","Coal",0
2037,"RMPAc","Coal",0
2038,"RMPAc","Coal",0
2039,"RMPAc","Coal",0
2040,"RMPAc","Coal",0
2041,"RMPAc","Coal",0
2042,"RMPAc","Coal",0
2043,"RMPAc","Coal",0
2044,"RMPAc","Coal",0
2045,"RMPAc","Coal",0
2046,"RMPAc","Coal",0
2047,"RMPAc","Coal",0
2048,"RMPAc","Coal",0
2049,"RMPAc","Coal",0
2050,"RMPAc","Coal",0
2022,"SPNOc","Coal",0.332847563344724
