eGRID_subregion,Fuel,Pollutant,Emission_rate,Unit
AKGD,Natural Gas,SO2,0.026,lb/MWh
AKMS,Natural Gas,SO2,0.046,lb/MWh
AZNM,Natural Gas,SO2,0.006,lb/MWh
CAMX,Natural Gas,SO2,0.009,lb/MWh
ERCT,Natural Gas,SO2,0.007,lb/MWh
FRCC,Natural Gas,SO2,0.043,lb/MWh
HIMS,Natural Gas,SO2,0.021,lb/MWh
HIOA,Natural Gas,SO2,0.021,lb/MWh
MROE,Natural Gas,SO2,0.071,lb/MWh
MROW,Natural Gas,SO2,0.02,lb/MWh
NEWE,Natural Gas,SO2,0.02,lb/MWh
NWPP,Natural Gas,SO2,0.009,lb/MWh
NYCW,Natural Gas,SO2,0.007,lb/MWh
NYLI,Natural Gas,SO2,0.232,lb/MWh
NYUP,Natural Gas,SO2,0.014,lb/MWh
PRMS,Natural Gas,SO2,0.355,lb/MWh
RFCE,Natural Gas,SO2,0.013,lb/MWh
RFCM,Natural Gas,SO2,0.046,lb/MWh
RFCW,Natural Gas,SO2,0.021,lb/MWh
RMPA,Natural Gas,SO2,0.018,lb/MWh
SPNO,Natural Gas,SO2,0.074,lb/MWh
SPSO,Natural Gas,SO2,0.031,lb/MWh
SRMV,Natural Gas,SO2,0.007,lb/MWh
SRMW,Natural Gas,SO2,0.009,lb/MWh
SRSO,Natural Gas,SO2,0.011,lb/MWh
SRTV,Natural Gas,SO2,0.006,lb/MWh
SRVC,Natural Gas,SO2,0.024,lb/MWh
AKGD,Natural Gas,PM25,0.05239014,lb/MWh
AKMS,Natural Gas,PM25,0.05239014,lb/MWh
AZNM,Natural Gas,PM25,0.04239054,lb/MWh
CAMX,Natural Gas,PM25,0.03454562,lb/MWh
ERCT,Natural Gas,PM25,0.0476462,lb/MWh
FRCC,Natural Gas,PM25,0.05715349,lb/MWh
HIMS,Natural Gas,PM25,0.05239014,lb/MWh
HIOA,Natural Gas,PM25,0.05239014,lb/MWh
MROE,Natural Gas,PM25,0.02232695,lb/MWh
MROW,Natural Gas,PM25,0.03104922,lb/MWh
NEWE,Natural Gas,PM25,0.02372479,lb/MWh
NWPP,Natural Gas,PM25,0.03754531,lb/MWh
NYCW,Natural Gas,PM25,0.10547009,lb/MWh
NYLI,Natural Gas,PM25,0.11325616,lb/MWh
NYUP,Natural Gas,PM25,0.04066902,lb/MWh
PRMS,Natural Gas,PM25,0.05239014,lb/MWh
RFCE,Natural Gas,PM25,0.04670166,lb/MWh
RFCM,Natural Gas,PM25,0.04885697,lb/MWh
RFCW,Natural Gas,PM25,0.0427893,lb/MWh
RMPA,Natural Gas,PM25,0.0451358,lb/MWh
SPNO,Natural Gas,PM25,0.080048,lb/MWh
SPSO,Natural Gas,PM25,0.05829991,lb/MWh
SRMV,Natural Gas,PM25,0.06322224,lb/MWh
SRMW,Natural Gas,PM25,0.04426985,lb/MWh
SRSO,Natural Gas,PM25,0.05690185,lb/MWh
SRTV,Natural Gas,PM25,0.04884335,lb/MWh
SRVC,Natural Gas,PM25,0.06173674,lb/MWh
AKGD,Natural Gas,NH3,0.030568616,lb/MWh
AKMS,Natural Gas,NH3,0.030568616,lb/MWh
AZNM,Natural Gas,NH3,0.028474456,lb/MWh
CAMX,Natural Gas,NH3,0.027141712,lb/MWh
ERCT,Natural Gas,NH3,0.028367801,lb/MWh
FRCC,Natural Gas,NH3,0.021451718,lb/MWh
HIMS,Natural Gas,NH3,0.030568616,lb/MWh
HIOA,Natural Gas,NH3,0.030568616,lb/MWh
MROE,Natural Gas,NH3,0.01043757,lb/MWh
MROW,Natural Gas,NH3,0.044391708,lb/MWh
NEWE,Natural Gas,NH3,0.026176639,lb/MWh
NWPP,Natural Gas,NH3,0.032821858,lb/MWh
NYCW,Natural Gas,NH3,0.032388037,lb/MWh
NYLI,Natural Gas,NH3,0.051355009,lb/MWh
NYUP,Natural Gas,NH3,0.016022165,lb/MWh
PRMS,Natural Gas,NH3,0.030568616,lb/MWh
RFCE,Natural Gas,NH3,0.022503079,lb/MWh
RFCM,Natural Gas,NH3,0.030990986,lb/MWh
RFCW,Natural Gas,NH3,0.023342053,lb/MWh
RMPA,Natural Gas,NH3,0.038288111,lb/MWh
SPNO,Natural Gas,NH3,0.035111843,lb/MWh
SPSO,Natural Gas,NH3,0.035374509,lb/MWh
SRMV,Natural Gas,NH3,0.043366597,lb/MWh
SRMW,Natural Gas,NH3,0.031948789,lb/MWh
SRSO,Natural Gas,NH3,0.022816687,lb/MWh
SRTV,Natural Gas,NH3,0.036936167,lb/MWh
SRVC,Natural Gas,NH3,0.032802059,lb/MWh
AKGD,Natural Gas,VOC,0.020486604,lb/MWh
AKMS,Natural Gas,VOC,0.020486604,lb/MWh
AZNM,Natural Gas,VOC,0.018708539,lb/MWh
CAMX,Natural Gas,VOC,0.010007401,lb/MWh
ERCT,Natural Gas,VOC,0.012121631,lb/MWh
FRCC,Natural Gas,VOC,0.011104569,lb/MWh
HIMS,Natural Gas,VOC,0.020486604,lb/MWh
HIOA,Natural Gas,VOC,0.020486604,lb/MWh
MROE,Natural Gas,VOC,0.018067314,lb/MWh
MROW,Natural Gas,VOC,0.027335467,lb/MWh
NEWE,Natural Gas,VOC,0.014559547,lb/MWh
NWPP,Natural Gas,VOC,0.016347493,lb/MWh
NYCW,Natural Gas,VOC,0.036667975,lb/MWh
NYLI,Natural Gas,VOC,0.067710959,lb/MWh
NYUP,Natural Gas,VOC,0.017618923,lb/MWh
PRMS,Natural Gas,VOC,0.020486604,lb/MWh
RFCE,Natural Gas,VOC,0.012249707,lb/MWh
RFCM,Natural Gas,VOC,0.025251508,lb/MWh
RFCW,Natural Gas,VOC,0.010232701,lb/MWh
RMPA,Natural Gas,VOC,0.020919375,lb/MWh
SPNO,Natural Gas,VOC,0.02340408,lb/MWh
SPSO,Natural Gas,VOC,0.020305988,lb/MWh
SRMV,Natural Gas,VOC,0.020721072,lb/MWh
SRMW,Natural Gas,VOC,0.010331932,lb/MWh
SRSO,Natural Gas,VOC,0.018173666,lb/MWh
SRTV,Natural Gas,VOC,0.017288538,lb/MWh
SRVC,Natural Gas,VOC,0.021576908,lb/MWh
AKGD,Nuclear,NOx,0,lb/MWh
AKMS,Nuclear,NOx,0,lb/MWh
AZNM,Nuclear,NOx,0,lb/MWh
CAMX,Nuclear,NOx,0,lb/MWh
ERCT,Nuclear,NOx,0,lb/MWh
FRCC,Nuclear,NOx,0,lb/MWh
HIMS,Nuclear,NOx,0,lb/MWh
HIOA,Nuclear,NOx,0,lb/MWh
MROE,Nuclear,NOx,0,lb/MWh
MROW,Nuclear,NOx,0,lb/MWh
NEWE,Nuclear,NOx,0,lb/MWh
NWPP,Nuclear,NOx,0,lb/MWh
NYCW,Nuclear,NOx,0,lb/MWh
NYLI,Nuclear,NOx,0,lb/MWh
NYUP,Nuclear,NOx,0,lb/MWh
PRMS,Nuclear,NOx,0,lb/MWh
RFCE,Nuclear,NOx,0,lb/MWh
RFCM,Nuclear,NOx,0,lb/MWh
RFCW,Nuclear,NOx,0,lb/MWh
RMPA,Nuclear,NOx,0,lb/MWh
SPNO,Nuclear,NOx,0,lb/MWh
SPSO,Nuclear,NOx,0,lb/MWh
SRMV,Nuclear,NOx,0,lb/MWh
SRMW,Nuclear,NOx,0,lb/MWh
SRSO,Nuclear,NOx,0,lb/MWh
SRTV,Nuclear,NOx,0,lb/MWh
SRVC,Nuclear,NOx,0,lb/MWh
AKGD,Nuclear,SO2,0,lb/MWh
AKMS,Nuclear,SO2,0,lb/MWh
AZNM,Nuclear,SO2,0,lb/MWh
CAMX,Nuclear,SO2,0,lb/MWh
ERCT,Nuclear,SO2,0,lb/MWh
FRCC,Nuclear,SO2,0,lb/MWh
HIMS,Nuclear,SO2,0,lb/MWh
HIOA,Nuclear,SO2,0,lb/MWh
MROE,Nuclear,SO2,0,lb/MWh
MROW,Nuclear,SO2,0,lb/MWh
NEWE,Nuclear,SO2,0,lb/MWh
NWPP,Nuclear,SO2,0,lb/MWh
NYCW,Nuclear,SO2,0,lb/MWh
NYLI,Nuclear,SO2,0,lb/MWh
NYUP,Nuclear,SO2,0,lb/MWh
PRMS,Nuclear,SO2,0,lb/MWh
RFCE,Nuclear,SO2,0,lb/MWh
RFCM,Nuclear,SO2,0,lb/MWh
RFCW,Nuclear,SO2,0,lb/MWh
RMPA,Nuclear,SO2,0,lb/MWh
SPNO,Nuclear,SO2,0,lb/MWh
SPSO,Nuclear,SO2,0,lb/MWh
SRMV,Nuclear,SO2,0,lb/MWh
SRMW,Nuclear,SO2,0,lb/MWh
SRSO,Nuclear,SO2,0,lb/MWh
SRTV,Nuclear,SO2,0,lb/MWh
SRVC,Nuclear,SO2,0,lb/MWh
AKGD,Nuclear,PM25,0,lb/MWh
AKMS,Nuclear,PM25,0,lb/MWh
AZNM,Nuclear,PM25,0,lb/MWh
CAMX,Nuclear,PM25,0,lb/MWh
ERCT,Nuclear,PM25,0,lb/MWh
FRCC,Nuclear,PM25,0,lb/MWh
HIMS,Nuclear,PM25,0,lb/MWh
HIOA,Nuclear,PM25,0,lb/MWh
MROE,Nuclear,PM25,0,lb/MWh
MROW,Nuclear,PM25,0,lb/MWh
NEWE,Nuclear,PM25,0,lb/MWh
NWPP,Nuclear,PM25,0,lb/MWh
NYCW,Nuclear,PM25,0,lb/MWh
NYLI,Nuclear,PM25,0,lb/MWh
NYUP,Nuclear,PM25,0,lb/MWh
PRMS,Nuclear,PM25,0,lb/MWh
RFCE,Nuclear,PM25,0,lb/MWh
RFCM,Nuclear,PM25,0,lb/MWh
RFCW,Nuclear,PM25,0,lb/MWh
RMPA,Nuclear,PM25,0,lb/MWh
SPNO,Nuclear,PM25,0,lb/MWh
SPSO,Nuclear,PM25,0,lb/MWh
SRMV,Nuclear,PM25,0,lb/MWh
SRMW,Nuclear,PM25,0,lb/MWh
SRSO,Nuclear,PM25,0,lb/MWh
SRTV,Nuclear,PM25,0,lb/MWh
SRVC,Nuclear,PM25,0,lb/MWh
AKGD,Nuclear,NH3,0,lb/MWh
AKMS,Nuclear,NH3,0,lb/MWh
AZNM,Nuclear,NH3,0,lb/MWh
CAMX,Nuclear,NH3,0,lb/MWh
ERCT,Nuclear,NH3,0,lb/MWh
FRCC,Nuclear,NH3,0,lb/MWh
HIMS,Nuclear,NH3,0,lb/MWh
HIOA,Nuclear,NH3,0,lb/MWh
MROE,Nuclear,NH3,0,lb/MWh
MROW,Nuclear,NH3,0,lb/MWh
NEWE,Nuclear,NH3,0,lb/MWh
NWPP,Nuclear,NH3,0,lb/MWh
NYCW,Nuclear,NH3,0,lb/MWh
NYLI,Nuclear,NH3,0,lb/MWh
NYUP,Nuclear,NH3,0,lb/MWh
PRMS,Nuclear,NH3,0,lb/MWh
RFCE,Nuclear,NH3,0,lb/MWh
RFCM,Nuclear,NH3,0,lb/MWh
RFCW,Nuclear,NH3,0,lb/MWh
RMPA,Nuclear,NH3,0,lb/MWh
SPNO,Nuclear,NH3,0,lb/MWh
SPSO,Nuclear,NH3,0,lb/MWh
SRMV,Nuclear,NH3,0,lb/MWh
SRMW,Nuclear,NH3,0,lb/MWh
SRSO,Nuclear,NH3,0,lb/MWh
SRTV,Nuclear,NH3,0,lb/MWh
SRVC,Nuclear,NH3,0,lb/MWh
AKGD,Nuclear,VOC,0,lb/MWh
AKMS,Nuclear,VOC,0,lb/MWh
AZNM,Nuclear,VOC,0,lb/MWh
CAMX,Nuclear,VOC,0,lb/MWh
ERCT,Nuclear,VOC,0,lb/MWh
FRCC,Nuclear,VOC,0,lb/MWh
HIMS,Nuclear,VOC,0,lb/MWh
HIOA,Nuclear,VOC,0,lb/MWh
MROE,Nuclear,VOC,0,lb/MWh
MROW,Nuclear,VOC,0,lb/MWh
NEWE,Nuclear,VOC,0,lb/MWh
NWPP,Nuclear,VOC,0,lb/MWh
NYCW,Nuclear,VOC,0,lb/MWh
NYLI,Nuclear,VOC,0,lb/MWh
NYUP,Nuclear,VOC,0,lb/MWh
PRMS,Nuclear,VOC,0,lb/MWh
RFCE,Nuclear,VOC,0,lb/MWh
RFCM,Nuclear,VOC,0,lb/MWh
RFCW,Nuclear,VOC,0,lb/MWh
RMPA,Nuclear,VOC,0,lb/MWh
SPNO,Nuclear,VOC,0,lb/MWh
SPSO,Nuclear,VOC,0,lb/MWh
SRMV,Nuclear,VOC,0,lb/MWh
SRMW,Nuclear,VOC,0,lb/MWh
SRSO,Nuclear,VOC,0,lb/MWh
SRTV,Nuclear,VOC,0,lb/MWh
SRVC,Nuclear,VOC,0,lb/MWh
AKGD,Renewables,NOx,0,lb/MWh
AKMS,Renewables,NOx,0,lb/MWh
AZNM,Renewables,NOx,0,lb/MWh
CAMX,Renewables,NOx,0,lb/MWh
ERCT,Renewables,NOx,0,lb/MWh
