fips,state_abbr,pollutant,model,season,elevated,damage
01009,AL,pm25,EASIUR,summer,ground level,276292.81834348579851057848957499228690750
01009,AL,so2,EASIUR,summer,ground level,50645.70089808339661926294123838445367306
01009,AL,nox,EASIUR,summer,ground level,5007.401766758728956317828633652803739492
01009,AL,pm25,EASIUR,fall,ground level,340364.55876098665439165885787397650392262
01009,AL,so2,EASIUR,fall,ground level,26573.901212497367182512520330683953244942
01009,AL,nox,EASIUR,fall,ground level,7086.125267351580502496903000272928436816
01009,AL,pm25,InMAP,annual,ground level,177750.76614982287483469877405882710465416
01009,AL,so2,InMAP,annual,ground level,78207.6296670382334526966074872547189802
01009,AL,nox,InMAP,annual,ground level,34558.430642808855312987928708960986002052
01011,AL,pm25,AP2,annual,ground level,79100.05780154923185385701191288553143436
01011,AL,so2,AP2,annual,ground level,45444.93687553728628409321002730500456956
01011,AL,nox,AP2,annual,ground level,6462.33429121703333502548427810113068428
01011,AL,pm25,EASIUR,annual,ground level,223952.42167396765646686041463659540641826
01011,AL,so2,EASIUR,annual,ground level,42343.98698411483635885267149526708046028
01011,AL,nox,EASIUR,annual,ground level,10013.684377136859899773822898275454451768
01011,AL,pm25,EASIUR,winter,ground level,251648.6965410328581806380945479912529962
01011,AL,so2,EASIUR,winter,ground level,43710.09338562149003551348350110220089442
01011,AL,nox,EASIUR,winter,ground level,23386.864292146761572088223183541358234618
01011,AL,pm25,EASIUR,spring,ground level,202564.40147480144743085586721111275825492
01011,AL,so2,EASIUR,spring,ground level,52898.13764799361551586441694612815086132
01011,AL,nox,EASIUR,spring,ground level,8661.361350995925398944390135780895367834
01011,AL,pm25,EASIUR,summer,ground level,216184.35018999779974006778393331849610428
01011,AL,so2,EASIUR,summer,ground level,47522.04997744982668465751815926003412368
01011,AL,nox,EASIUR,summer,ground level,3692.7660847795706700766592829702190738068
01011,AL,pm25,EASIUR,fall,ground level,225412.23849003926692691438268445104469128
01011,AL,so2,EASIUR,fall,ground level,25245.666925393704108892521035610605906742
01011,AL,nox,EASIUR,fall,ground level,4313.745780625234206758431878943779976968
01011,AL,pm25,InMAP,annual,ground level,76549.28205584914502995088982855108515928
01011,AL,so2,InMAP,annual,ground level,42778.89129416106898812685647238816132524
01011,AL,nox,InMAP,annual,ground level,18312.962726232474411595576402415159888274
01013,AL,pm25,AP2,annual,ground level,55443.24179655523599748212750923602374966
01013,AL,so2,AP2,annual,ground level,38977.27540910030134427370358773180436938
01013,AL,nox,AP2,annual,ground level,6144.750562214664220037000360882132321742
01013,AL,pm25,EASIUR,annual,ground level,195609.35202673083452690666794776124110168
01013,AL,so2,EASIUR,annual,ground level,40458.58059272515611953201183875602682692
01013,AL,nox,EASIUR,annual,ground level,9491.127909067735152717772241856508867782
01013,AL,pm25,EASIUR,winter,ground level,230516.34024966937914791883394158855776214
01013,AL,so2,EASIUR,winter,ground level,45168.23012213692268209387443570259974228
01013,AL,nox,EASIUR,winter,ground level,22725.688381865549914045590584708976554298
01013,AL,pm25,EASIUR,spring,ground level,170331.37488116955255540875143122143369868
01013,AL,so2,EASIUR,spring,ground level,48463.61049607663593385911883958649434646
01013,AL,nox,EASIUR,spring,ground level,8276.348895780134640487358181365640137706
01013,AL,pm25,EASIUR,summer,ground level,181004.80327766543841856423148873605273110
01013,AL,so2,EASIUR,summer,ground level,43250.9568417506008117256108285801359710
01013,AL,nox,EASIUR,summer,ground level,3079.3481650065433798368776439646934444742
01013,AL,pm25,EASIUR,fall,ground level,200584.88969841822157470038509900699384116
01013,AL,so2,EASIUR,fall,ground level,24951.524910937248782035636573171399940262
01013,AL,nox,EASIUR,fall,ground level,3883.1261936187537291081583980637812852
01013,AL,pm25,InMAP,annual,ground level,70506.33988435315582575054061483758018714
01013,AL,so2,InMAP,annual,ground level,43067.45995277826736077307679218960936218
01013,AL,nox,InMAP,annual,ground level,15267.892597109579030773965259183266954312
04001,AZ,pm25,AP2,annual,ground level,33028.280278597652435487706085239261889688
04001,AZ,so2,AP2,annual,ground level,29437.430110449108720457170372930213648732
04001,AZ,nox,AP2,annual,ground level,11791.951056073832470283042192812046510466
04001,AZ,pm25,EASIUR,annual,ground level,39803.92152033131518181105689172946011718
04001,AZ,so2,EASIUR,annual,ground level,17482.979110449226351414951595165216176272
04001,AZ,nox,EASIUR,annual,ground level,1677.4243255585285504381680035917855592208
04001,AZ,pm25,EASIUR,winter,ground level,60002.88139254927504961277849099505919536
04001,AZ,so2,EASIUR,winter,ground level,33080.643962141307990927520686500304965664
04001,AZ,nox,EASIUR,winter,ground level,4337.056739165585861289960207766551463842
04001,AZ,pm25,EASIUR,spring,ground level,19155.518291919146129001166193709999669306
04001,AZ,so2,EASIUR,spring,ground level,9380.431824036037675314629743004242881192
04001,AZ,nox,EASIUR,spring,ground level,520.2956150585312179990562800211318880054
04001,AZ,pm25,EASIUR,summer,ground level,23484.915091204739635992837805893801482172
04001,AZ,so2,EASIUR,summer,ground level,11765.085697990324804158479238430623224532
04001,AZ,nox,EASIUR,summer,ground level,280.43619205081164945864135477171318846276
04001,AZ,pm25,EASIUR,fall,ground level,56572.3713056520625920857215847943838032
04001,AZ,so2,EASIUR,fall,ground level,15705.754957629272255810900204250289952382
04001,AZ,nox,EASIUR,fall,ground level,1571.9087559591921907043244002821730339358
04001,AZ,pm25,InMAP,annual,ground level,37148.797723551503076573135760589484956676
04001,AZ,so2,InMAP,annual,ground level,21436.747454813801147767833690596886667056
04001,AZ,nox,InMAP,annual,ground level,17205.738678216450143560778161408163309448
05001,AR,pm25,AP2,annual,ground level,77238.64805179280668408097565825176092194
05001,AR,so2,AP2,annual,ground level,58618.66769803388443829344833122908228914
05001,AR,nox,AP2,annual,ground level,15594.201455863678359956931724200268395606
05001,AR,pm25,EASIUR,annual,ground level,177892.88043692975976837421738167547175694
05001,AR,so2,EASIUR,annual,ground level,45134.1610305004249706022859786196326602
05001,AR,nox,EASIUR,annual,ground level,11745.853595124559694263859136073616889264
05001,AR,pm25,EASIUR,winter,ground level,209791.31161940634335652777547600826460762
05001,AR,so2,EASIUR,winter,ground level,56571.51934839288076348846809049109542788
05001,AR,nox,EASIUR,winter,ground level,28286.843998759914072053994158615145900684
05001,AR,pm25,EASIUR,spring,ground level,149944.41643527597945033906485856348139086
05001,AR,so2,EASIUR,spring,ground level,49233.59567483806614556181737662813969078
05001,AR,nox,EASIUR,spring,ground level,9754.701878571936093285564301223847417174
05001,AR,pm25,EASIUR,summer,ground level,150238.42895111866017050701967414710786446
05001,AR,so2,EASIUR,summer,ground level,48130.60921771302531694631289068329457262
05001,AR,nox,EASIUR,summer,ground level,3417.829367779955630828962150873003042908
05001,AR,pm25,EASIUR,fall,ground level,201597.364741917682890605774602737069978
05001,AR,so2,EASIUR,fall,ground level,26600.919881058436746895291895643331004478
05001,AR,nox,EASIUR,fall,ground level,5524.039135386321019231745459008682240244
05001,AR,pm25,InMAP,annual,ground level,62317.00006096472743420857493990587974310
05001,AR,so2,InMAP,annual,ground level,41028.07293576847076012339957580573261462
05001,AR,nox,InMAP,annual,ground level,27411.652190641618918066360650488826049632
05003,AR,pm25,AP2,annual,ground level,63024.02193262802641551290294032994129772
05003,AR,so2,AP2,annual,ground level,51435.08320220038943902049238813527995776
05003,AR,nox,AP2,annual,ground level,12979.658582811387511441508495824145660898
05003,AR,pm25,EASIUR,annual,ground level,169163.00635221973835171785858571665256178
05003,AR,so2,EASIUR,annual,ground level,43276.42189227621094165150314194744099088
05003,AR,nox,EASIUR,annual,ground level,10002.787123117455803338691470190728315554
05003,AR,pm25,EASIUR,winter,ground level,210138.42281725214339381494042300227504162
05003,AR,so2,EASIUR,winter,ground level,56956.3847491571692060891131088490379210
05003,AR,nox,EASIUR,winter,ground level,25331.954471534469961040346145477533850056
05003,AR,pm25,EASIUR,spring,ground level,139894.11833415156101004012956319875464116
05003,AR,so2,EASIUR,spring,ground level,47463.02264359450951064073719752537742886
05003,AR,nox,EASIUR,spring,ground level,8237.645127317845706845163711421726516576
05003,AR,pm25,EASIUR,summer,ground level,140497.9778140315691681404434111609174828
05003,AR,so2,EASIUR,summer,ground level,45208.63520155508804768046090431080384752
05003,AR,nox,EASIUR,summer,ground level,2983.583658982673161222125576337347706428
05003,AR,pm25,EASIUR,fall,ground level,186121.50644344405304039315586075062626836
05003,AR,so2,EASIUR,fall,ground level,23477.644974797591835023295967284792623274
05003,AR,nox,EASIUR,fall,ground level,3457.965234634797063695406956001708870474
05003,AR,pm25,InMAP,annual,ground level,70901.80822665960153990987288892088902164
05003,AR,so2,InMAP,annual,ground level,43380.23543573856738320747933123008692636
05003,AR,nox,InMAP,annual,ground level,27036.280317140394283061951308813546204074
05005,AR,pm25,AP2,annual,ground level,72895.08437666445281522121216397501300236
05005,AR,so2,AP2,annual,ground level,58619.20250314262656284763964410806649422
05005,AR,nox,AP2,annual,ground level,17156.408316810317297252730931462846020864
05005,AR,pm25,EASIUR,annual,ground level,190432.81588558923215267071313020168945662
05005,AR,so2,EASIUR,annual,ground level,45591.07261742055553702518607360081699824
05005,AR,nox,EASIUR,annual,ground level,12704.17939752950543286531093600747768096
05005,AR,pm25,EASIUR,winter,ground level,214045.56313531627947078089133829811113950
05005,AR,so2,EASIUR,winter,ground level,47293.61910256461629122599226812068038110
