fips,state_abbr,pollutant,model,season,elevated,damage
01011,AL,so2,EASIUR,summer,high stack,49966.37416757795393357350194041165276214
01011,AL,nox,EASIUR,summer,high stack,2976.6459829478134149184005364559675624274
01011,AL,pm25,EASIUR,fall,high stack,125534.504124371116187326501701004640430
01011,AL,so2,EASIUR,fall,high stack,28549.306192299082673702582591591670059238
01011,AL,nox,EASIUR,fall,high stack,2977.1867070486841768705926841553500325766
01011,AL,pm25,InMAP,annual,high stack,57672.869918352627404925174345957028770
01011,AL,so2,InMAP,annual,high stack,38580.20636876476263206676852051148330956
01011,AL,nox,InMAP,annual,high stack,13651.52941173052551748107911710148835282
01013,AL,pm25,AP2,annual,high stack,33629.39710672918697517369832811547109548
01013,AL,so2,AP2,annual,high stack,32430.080195250489363408820691021549702268
01013,AL,nox,AP2,annual,high stack,5139.69954947625861027929900292775290432
01013,AL,pm25,EASIUR,annual,high stack,106632.37979476610999020439244536736449202
01013,AL,so2,EASIUR,annual,high stack,40814.94382104911693426792304198447288084
01013,AL,nox,EASIUR,annual,high stack,5743.488743501343751826860198463609980032
01013,AL,pm25,EASIUR,winter,high stack,139028.85719113457467845863768538378518142
01013,AL,so2,EASIUR,winter,high stack,36307.74614336461109879644457520701018244
01013,AL,nox,EASIUR,winter,high stack,12302.254657377562486435873608798412810134
01013,AL,pm25,EASIUR,spring,high stack,85597.57790084945313677552267815760351010
01013,AL,so2,EASIUR,spring,high stack,51723.40839197744848105529558493762172374
01013,AL,nox,EASIUR,spring,high stack,5478.821293247516114632047985907804111574
01013,AL,pm25,EASIUR,summer,high stack,85622.32806298562113298366500367934224466
01013,AL,so2,EASIUR,summer,high stack,46686.37396059786382238269570551026431926
01013,AL,nox,EASIUR,summer,high stack,2570.5379631031102072200199722234715855842
01013,AL,pm25,EASIUR,fall,high stack,116280.75602409479101259974441424872703190
01013,AL,so2,EASIUR,fall,high stack,28542.246788256581655388979793807591616602
01013,AL,nox,EASIUR,fall,high stack,2622.3410602771339502470863387903165666810
01013,AL,pm25,InMAP,annual,high stack,57786.98261879052053970641585554154300124
01013,AL,so2,InMAP,annual,high stack,38709.15257453705792340013703759427062856
01013,AL,nox,InMAP,annual,high stack,13056.855966820757343621456330673668359466
04001,AZ,pm25,AP2,annual,high stack,25802.713581742604956089787741836149020236
04001,AZ,so2,AP2,annual,high stack,27993.896503091033370978518375786106349752
04001,AZ,nox,AP2,annual,high stack,11594.357024004163612146964206341678749086
04001,AZ,pm25,EASIUR,annual,high stack,28943.110938213772038134912958769907360904
04001,AZ,so2,EASIUR,annual,high stack,20576.180276923665796819876874087616050208
04001,AZ,nox,EASIUR,annual,high stack,1907.4996792050910228180247616718730291914
04001,AZ,pm25,EASIUR,winter,high stack,44641.20203417299366964341575222979227546
04001,AZ,so2,EASIUR,winter,high stack,39451.87468113979533519556096652118048198
04001,AZ,nox,EASIUR,winter,high stack,5290.85317508214348669041353165039692834
04001,AZ,pm25,EASIUR,spring,high stack,11971.254699096956204227441432435452752028
04001,AZ,so2,EASIUR,spring,high stack,9969.088478229047904531190752668137792854
04001,AZ,nox,EASIUR,spring,high stack,494.220623392156544655928104410626369458
04001,AZ,pm25,EASIUR,summer,high stack,14295.867322244533059524043312378618454992
04001,AZ,so2,EASIUR,summer,high stack,13314.017141630932454488743012156050621724
04001,AZ,nox,EASIUR,summer,high stack,276.03989991992239866571744021495924285290
04001,AZ,pm25,EASIUR,fall,high stack,44864.11969734105306576543323633092178532
