scenario,gea_region,year,lrmer_co2e_kg_per_MWh
LowNGPrice,SPP_South,2030,78
LowNGPrice,SPP_South,2035,145.3
LowNGPrice,SPP_South,2040,103.7
LowNGPrice,SPP_South,2045,88.1
LowNGPrice,SPP_South,2050,114.7
LowNGPrice,WestConnect_North,2025,376.3
LowNGPrice,WestConnect_North,2030,157.8
LowNGPrice,WestConnect_North,2035,219.8
LowNGPrice,WestConnect_North,2040,125.9
LowNGPrice,WestConnect_North,2045,146.9
LowNGPrice,WestConnect_North,2050,115.7
LowNGPrice,WestConnect_South,2025,270.1
LowNGPrice,WestConnect_South,2030,170.6
LowNGPrice,WestConnect_South,2035,289.7
LowNGPrice,WestConnect_South,2040,190.8
LowNGPrice,WestConnect_South,2045,179.3
LowNGPrice,WestConnect_South,2050,94.9
HighNGPrice,CAISO,2025,233.3
HighNGPrice,CAISO,2030,204.6
HighNGPrice,CAISO,2035,66.9
HighNGPrice,CAISO,2040,50.5
HighNGPrice,CAISO,2045,29.2
HighNGPrice,CAISO,2050,28.5
HighNGPrice,ERCOT,2025,209.2
HighNGPrice,ERCOT,2030,155.8
HighNGPrice,ERCOT,2035,68.4
HighNGPrice,ERCOT,2040,107
HighNGPrice,ERCOT,2045,114.7
HighNGPrice,ERCOT,2050,72.8
HighNGPrice,FRCC,2025,484.9
HighNGPrice,FRCC,2030,313.6
HighNGPrice,FRCC,2035,119.9
HighNGPrice,FRCC,2040,106.5
HighNGPrice,FRCC,2045,79.7
HighNGPrice,FRCC,2050,129.1
HighNGPrice,ISONE,2025,313.1
HighNGPrice,ISONE,2030,203
HighNGPrice,ISONE,2035,140.6
HighNGPrice,ISONE,2040,89.8
HighNGPrice,ISONE,2045,64.4
HighNGPrice,ISONE,2050,36.3
HighNGPrice,MISO_Central,2025,563.3
HighNGPrice,MISO_Central,2030,282.1
HighNGPrice,MISO_Central,2035,125.7
HighNGPrice,MISO_Central,2040,162.2
HighNGPrice,MISO_Central,2045,137.1
HighNGPrice,MISO_Central,2050,82.5
HighNGPrice,MISO_North,2025,510.4
HighNGPrice,MISO_North,2030,170.7
HighNGPrice,MISO_North,2035,88.7
HighNGPrice,MISO_North,2040,126.4
HighNGPrice,MISO_North,2045,69.5
HighNGPrice,MISO_North,2050,66.2
HighNGPrice,MISO_South,2025,594.6
HighNGPrice,MISO_South,2030,289
HighNGPrice,MISO_South,2035,114.9
HighNGPrice,MISO_South,2040,103
HighNGPrice,MISO_South,2045,108.1
HighNGPrice,MISO_South,2050,117.3
HighNGPrice,NYISO,2025,303.5
HighNGPrice,NYISO,2030,184.3
HighNGPrice,NYISO,2035,188
HighNGPrice,NYISO,2040,0
HighNGPrice,NYISO,2045,0
HighNGPrice,NYISO,2050,0
HighNGPrice,NorthernGrid_East,2025,290.2
HighNGPrice,NorthernGrid_East,2030,59.6
HighNGPrice,NorthernGrid_East,2035,210.5
HighNGPrice,NorthernGrid_East,2040,134.6
HighNGPrice,NorthernGrid_East,2045,135
HighNGPrice,NorthernGrid_East,2050,159.5
HighNGPrice,NorthernGrid_South,2025,299.2
HighNGPrice,NorthernGrid_South,2030,108.4
HighNGPrice,NorthernGrid_South,2035,173
HighNGPrice,NorthernGrid_South,2040,117.8
HighNGPrice,NorthernGrid_South,2045,105.1
HighNGPrice,NorthernGrid_South,2050,97.2
HighNGPrice,NorthernGrid_West,2025,155.8
HighNGPrice,NorthernGrid_West,2030,16.1
HighNGPrice,NorthernGrid_West,2035,36
HighNGPrice,NorthernGrid_West,2040,21.6
HighNGPrice,NorthernGrid_West,2045,26
HighNGPrice,NorthernGrid_West,2050,25.2
HighNGPrice,PJM_East,2025,511.3
HighNGPrice,PJM_East,2030,383.4
HighNGPrice,PJM_East,2035,358.1
HighNGPrice,PJM_East,2040,300.8
HighNGPrice,PJM_East,2045,221.6
HighNGPrice,PJM_East,2050,201.1
HighNGPrice,PJM_West,2025,443.6
HighNGPrice,PJM_West,2030,103.8
HighNGPrice,PJM_West,2035,92.8
HighNGPrice,PJM_West,2040,120.3
HighNGPrice,PJM_West,2045,85.9
HighNGPrice,PJM_West,2050,57.1
HighNGPrice,SERTP,2025,502.7
HighNGPrice,SERTP,2030,410.8
HighNGPrice,SERTP,2035,191.3
HighNGPrice,SERTP,2040,179.9
HighNGPrice,SERTP,2045,143.6
HighNGPrice,SERTP,2050,116.1
HighNGPrice,SPP_North,2025,664.2
HighNGPrice,SPP_North,2030,191.8
HighNGPrice,SPP_North,2035,76.6
HighNGPrice,SPP_North,2040,106.3
HighNGPrice,SPP_North,2045,122.4
HighNGPrice,SPP_North,2050,41.8
HighNGPrice,SPP_South,2025,464.8
HighNGPrice,SPP_South,2030,135.8
HighNGPrice,SPP_South,2035,103.8
HighNGPrice,SPP_South,2040,133.7
HighNGPrice,SPP_South,2045,93.6
HighNGPrice,SPP_South,2050,93.2
HighNGPrice,WestConnect_North,2025,355.1
HighNGPrice,WestConnect_North,2030,134.2
HighNGPrice,WestConnect_North,2035,197.7
HighNGPrice,WestConnect_North,2040,140.1
HighNGPrice,WestConnect_North,2045,129.2
HighNGPrice,WestConnect_North,2050,99.6
HighNGPrice,WestConnect_South,2025,296.4
HighNGPrice,WestConnect_South,2030,147.9
HighNGPrice,WestConnect_South,2035,206.4
HighNGPrice,WestConnect_South,2040,124.8
HighNGPrice,WestConnect_South,2045,86.5
HighNGPrice,WestConnect_South,2050,114
Decarb95by2050,CAISO,2025,264.3
Decarb95by2050,CAISO,2030,176.7
Decarb95by2050,CAISO,2035,38.4
Decarb95by2050,CAISO,2040,46.7
Decarb95by2050,CAISO,2045,11.9
Decarb95by2050,CAISO,2050,10.7
Decarb95by2050,ERCOT,2025,306.9
Decarb95by2050,ERCOT,2030,195.1
Decarb95by2050,ERCOT,2035,112.9
Decarb95by2050,ERCOT,2040,99
Decarb95by2050,ERCOT,2045,71.5
Decarb95by2050,ERCOT,2050,40.6
Decarb95by2050,FRCC,2025,533.7
Decarb95by2050,FRCC,2030,342.9
Decarb95by2050,FRCC,2035,307
Decarb95by2050,FRCC,2040,270.6
Decarb95by2050,FRCC,2045,124.6
Decarb95by2050,FRCC,2050,127.3
Decarb95by2050,ISONE,2025,310.4
Decarb95by2050,ISONE,2030,216.2
Decarb95by2050,ISONE,2035,135.4
Decarb95by2050,ISONE,2040,84.8
Decarb95by2050,ISONE,2045,60.2
Decarb95by2050,ISONE,2050,24.2
Decarb95by2050,MISO_Central,2025,754.7
Decarb95by2050,MISO_Central,2030,184.6
