"Table 4.  Residential Sector Key Indicators and Consumption"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2023&cases=ref2023&sourcekey=0"
"Thu Nov 14 2024 15:24:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2022-2050)"
Key Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computers and Related Equipment,"Residential: Electricity: Computers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CMPR_ELC_NA_USA_QBTU.A,"quads",,0.120106,0.118562,0.116931,0.115363,0.113493,0.111328,0.108857,0.106117,0.103168,0.100088,0.09698,0.093786,0.09061,0.087647,0.084848,0.082133,0.079493,0.077008,0.074726,0.072652,0.070825,0.069227,0.067875,0.066753,0.065956,0.065417,0.065087,0.064993,0.065107,"-2.2%"
Furnace Fans and Boiler Circulation Pumps,"Residential: Electricity: Fans and Pumps": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FPR_ELC_NA_USA_QBTU.A,"quads",,0.089175,0.08825,0.079128,0.080094,0.08098,0.08173,0.08228,0.08254,0.082562,0.082343,0.081924,0.081309,0.080431,0.07939,0.078254,0.077045,0.075694,0.074349,0.07305,0.071817,0.07064,0.069588,0.068662,0.067823,0.067006,0.066321,0.065775,0.065344,0.064997,"-1.1%"
Other Uses,"Residential: Electricity: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_ELC_NA_USA_QBTU.A,"quads",,1.728992,1.778594,1.805526,1.841668,1.877618,1.918136,1.953426,1.984526,2.015298,2.045995,2.0772,2.108309,2.137068,2.169604,2.204503,2.241675,2.277666,2.3145,2.353622,2.393605,2.436224,2.480371,2.526102,2.573554,2.622924,2.674564,2.727255,2.781734,2.840269,"1.8%"
Electricity Subtotal,"Residential: Electricity: Electricity Subtotal": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DELE_ELC_NA_USA_QBTU.A,"quads",,5.259642,5.170129,5.25044,5.307276,5.362642,5.422232,5.47432,5.518295,5.554088,5.587194,5.622504,5.659284,5.694947,5.742076,5.795343,5.852389,5.907059,5.963454,6.0203,6.08025,6.145656,6.215189,6.288645,6.365698,6.448222,6.53561,6.625218,6.717607,6.816999,"0.9%"
On-site Generation for Own Use,"Residential: Electricity: Generation for Own Use": Reference case,AEO.2023.REF2023.GEN_NA_RESD_GFO_ELC_NA_USA_QBTU.A,"quads",,0.112023,0.123458,0.136529,0.149777,0.163009,0.176585,0.19053,0.204945,0.21982,0.235246,0.25149,0.267937,0.28465,0.299474,0.314918,0.330968,0.348012,0.366187,0.3854,0.405709,0.427124,0.44966,0.473071,0.497574,0.522997,0.549355,0.576946,0.605268,0.634524,"6.4%"
Purchased Electricity,"Residential: Electricity: Purchased Electricity": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DELE_ELC_NA_USA_QBTU.A,"quads",,5.147618,5.046671,5.113911,5.157499,5.199634,5.245647,5.28379,5.31335,5.334268,5.351949,5.371014,5.391346,5.410297,5.442602,5.480425,5.521421,5.559047,5.597267,5.6349,5.674541,5.718532,5.765529,5.815574,5.868124,5.925225,5.986255,6.048272,6.112339,6.182475,"0.7%"
Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,"Residential: Natural Gas: Space Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPH_NG_NA_USA_QBTU.A,"quads",,3.73693,3.786134,3.524206,3.534772,3.540792,3.53828,3.529304,3.510945,3.487897,3.462235,3.436536,3.41919,3.398954,3.379413,3.362053,3.346112,3.329438,3.314799,3.301509,3.288682,3.276622,3.266367,3.257648,3.247816,3.234627,3.222775,3.212637,3.202551,3.191122,"-0.6%"
Space Cooling,"Residential: Natural Gas: Space Cooling": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPC_NG_NA_USA_QBTU.A,"quads",,0.058888,0.05053,0.059461,0.059824,0.060086,0.060237,0.060283,0.060235,0.060099,0.05989,0.059666,0.05942,0.059215,0.059099,0.059116,0.059266,0.059431,0.059636,0.059841,0.060023,0.060231,0.060454,0.060706,0.060936,0.061137,0.06134,0.061597,0.06187,0.062122,"0.2%"
Water Heating,"Residential: Natural Gas: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_NG_NA_USA_QBTU.A,"quads",,0.982988,0.980209,0.989771,1.005515,1.022239,1.038243,1.053751,1.066705,1.078192,1.087593,1.096298,1.104917,1.113101,1.121259,1.129493,1.13727,1.144052,1.151144,1.158029,1.164591,1.171285,1.178668,1.186804,1.194551,1.199459,1.205508,1.213089,1.221263,1.228967,"0.8%"
Cooking,"Residential: Natural Gas: Cooking": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CGR_NG_NA_USA_QBTU.A,"quads",,0.103539,0.103721,0.10393,0.104173,0.104412,0.10465,0.10492,0.105265,0.105678,0.106176,0.106773,0.107469,0.108208,0.109004,0.109852,0.110743,0.111655,0.112587,0.113552,0.114545,0.115558,0.116595,0.117656,0.118736,0.119822,0.120911,0.121992,0.123053,0.12409,"0.6%"
Clothes Dryers,"Residential: Natural Gas: Clothes Dryers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CDR_NG_NA_USA_QBTU.A,"quads",,0.039713,0.040031,0.040827,0.041872,0.042965,0.044042,0.04506,0.045927,0.046698,0.047413,0.048116,0.04879,0.049444,0.05008,0.050721,0.051386,0.052048,0.052755,0.053475,0.054198,0.054938,0.055711,0.056512,0.057282,0.057895,0.058551,0.059274,0.060025,0.06075,"1.5%"
Other Uses,"Residential: Natural Gas: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_NG_NA_USA_QBTU.A,"quads",,0.227335,0.225826,0.226278,0.227805,0.22943,0.230812,0.231871,0.232141,0.231911,0.231396,0.230831,0.230173,0.229503,0.228858,0.228335,0.227843,0.227266,0.226819,0.226353,0.225855,0.225413,0.225093,0.224878,0.224557,0.223546,0.222772,0.222338,0.222088,0.221789,"-0.1%"
Delivered Energy,"Residential: Natural Gas: Delivered Energy": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DELE_NG_NA_USA_QBTU.A,"quads",,5.149392,5.186451,4.944474,4.973961,4.999925,5.016266,5.025189,5.021217,5.010476,4.994703,4.978221,4.969959,4.958426,4.947713,4.93957,4.932621,4.923891,4.91774,4.912759,4.907895,4.904047,4.902888,4.904204,4.903876,4.896485,4.891857,4.890927,4.890851,4.888841,"-0.2%"
Distillate Fuel Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,"Residential: Distillate Fuel Oil: Space Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPH_DFO_NA_USA_QBTU.A,"quads",,0.381925,0.383536,0.32749,0.323264,0.318155,0.312652,0.306879,0.300867,0.29494,0.289076,0.283366,0.278218,0.273003,0.267846,0.262899,0.258123,0.253507,0.249017,0.244715,0.240453,0.236259,0.232016,0.22792,0.223829,0.219666,0.215518,0.211458,0.20742,0.203485,"-2.2%"
Water Heating,"Residential: Distillate Fuel Oil: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_DFO_NA_USA_QBTU.A,"quads",,0.043041,0.040315,0.038573,0.037466,0.036442,0.035552,0.03481,0.034219,0.033803,0.033317,0.032805,0.03227,0.031735,0.031182,0.030637,0.030092,0.029556,0.029034,0.028531,0.028038,0.027574,0.027129,0.026715,0.026321,0.025933,0.025563,0.025213,0.024871,0.024542,"-2.0%"
Other Uses,"Residential: Distillate Fuel Oil: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_DFO_NA_USA_QBTU.A,"quads",,0.007531,0.007367,0.00733,0.007369,0.007389,0.007397,0.007396,0.007385,0.00737,0.00735,0.007331,0.007312,0.007293,0.007275,0.007257,0.007239,0.007222,0.007205,0.007189,0.007171,0.007155,0.007139,0.007125,0.007111,0.007093,0.007076,0.007061,0.007047,0.007033,"-0.2%"
Delivered Energy,"Residential: Distillate Fuel Oil: Delivered Energy": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_NA_DFO_NA_USA_QBTU.A,"quads",,0.432497,0.431217,0.373393,0.368099,0.361986,0.355601,0.349085,0.342471,0.336113,0.329744,0.323502,0.317799,0.312032,0.306303,0.300794,0.295454,0.290284,0.285256,0.280434,0.275663,0.270988,0.266283,0.26176,0.257261,0.252692,0.248185,0.24379,0.239424,0.235174,"-2.2%"
Propane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,"Residential: Propane: Space Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPH_PROP_NA_USA_QBTU.A,"quads",,0.340393,0.328603,0.298348,0.294508,0.291721,0.289288,0.286684,0.283808,0.280645,0.277305,0.27385,0.270671,0.267416,0.264355,0.261527,0.258915,0.25637,0.253968,0.251703,0.249546,0.247417,0.245385,0.243459,0.241594,0.239707,0.237884,0.236081,0.234328,0.232634,"-1.4%"
Water Heating,"Residential: Propane: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_PROP_NA_USA_QBTU.A,"quads",,0.060221,0.057039,0.054758,0.053262,0.052171,0.051295,0.050536,0.04987,0.049293,0.048556,0.047707,0.046804,0.045866,0.044928,0.044022,0.043145,0.042286,0.041473,0.040704,0.039977,0.0393,0.038685,0.038131,0.037623,0.03713,0.036677,0.036256,0.035863,0.035496,"-1.9%"
Cooking,"Residential: Propane: Cooking": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CGR_PROP_NA_USA_QBTU.A,"quads",,0.016931,0.016749,0.016561,0.016368,0.016165,0.015948,0.015723,0.015489,0.015245,0.014994,0.014737,0.014521,0.014345,0.01421,0.014119,0.014071,0.014016,0.013956,0.01389,0.013818,0.013741,0.013661,0.013581,0.013502,0.013427,0.013357,0.013293,0.013233,0.013175,"-0.9%"
Other Uses,"Residential: Propane: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_PROP_NA_USA_QBTU.A,"quads",,0.07354,0.073881,0.075038,0.076967,0.079218,0.081565,0.083859,0.086047,0.088106,0.090054,0.091918,0.093709,0.095459,0.097231,0.099066,0.100945,0.102823,0.104744,0.106688,0.108645,0.110621,0.112653,0.114748,0.116869,0.118934,0.121035,0.123162,0.125322,0.127509,"2.0%"
Delivered Energy,"Residential: Propane: Delivered Energy": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DELE_PROP_NA_USA_QBTU.A,"quads",,0.491085,0.476272,0.444705,0.441105,0.439275,0.438096,0.436801,0.435214,0.433289,0.430909,0.428213,0.425705,0.423085,0.420724,0.418734,0.417076,0.415495,0.414142,0.412984,0.411986,0.41108,0.410385,0.409919,0.409588,0.409198,0.408952,0.408792,0.408746,0.408814,"-0.7%"
Marketed Renewables (wood),"Residential: Marketed Renewables (wood)": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_NA_MRW_NA_USA_QBTU.A,"quads",,0.538932,0.57441,0.513068,0.489864,0.472164,0.45764,0.4452,0.435137,0.426017,0.417909,0.409804,0.402631,0.395039,0.387514,0.379935,0.372857,0.366083,0.359575,0.353241,0.347622,0.342071,0.337054,0.332011,0.327538,0.323872,0.320083,0.316089,0.312111,0.308024,"-2.0%"
Energy Consumption by End Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,"Residential: Delivered Energy Use by End Use: Space Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPH_DEE_NA_USA_QBTU.A,"quads",,5.743799,5.816709,5.320683,5.299356,5.278564,5.251076,5.217474,5.175095,5.127351,5.077018,5.02658,4.985841,4.94132,4.898966,4.859536,4.822555,4.784821,4.749634,4.716778,4.685628,4.655783,4.628654,4.603252,4.577453,4.549252,4.522653,4.497698,4.473098,4.447649,"-0.9%"
Space Cooling,"Residential: Delivered Energy Use by End Use: Space Cooling": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPC_DEE_NA_USA_QBTU.A,"quads",,0.912475,0.785722,0.95037,0.970874,0.990268,1.010379,1.029992,1.048459,1.064569,1.079664,1.095868,1.112003,1.128507,1.147432,1.168238,1.19019,1.211945,1.234185,1.256749,1.279439,1.302789,1.326819,1.351826,1.377735,1.405762,1.434909,1.464679,1.494399,1.52527,"1.9%"
Water Heating,"Residential: Delivered Energy Use by End Use: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_DEE_NA_USA_QBTU.A,"quads",,1.686047,1.676408,1.681888,1.695826,1.710388,1.724215,1.737117,1.746907,1.75451,1.759377,1.763657,1.770115,1.776848,1.785921,1.795616,1.804871,1.812825,1.820973,1.829057,1.837071,1.845563,1.855066,1.865388,1.87533,1.882772,1.891669,1.902225,1.913615,1.925086,"0.5%"
